Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
65308272,06/19/2025 06:59:43 AM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10014,89 GREENWICH AVENUE,GREENWICH AVENUE,BANK STREET,WEST   12 STREET,BANK STREET,WEST   12 STREET,ADDRESS,NEW YORK,GREENWICH AVENUE,,In Progress,,,,02 MANHATTAN,1006150036,MANHATTAN,983821,207892,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.73729214707372,-74.00154803384405,"(40.73729214707372, -74.00154803384405)"
65313432,06/19/2025 06:58:41 AM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10011,156 WEST   20 STREET,WEST   20 STREET,AVENUE OF THE AMERICAS,7 AVENUE,AVENUE OF THE AMERICAS,7 AVENUE,ADDRESS,NEW YORK,WEST   20 STREET,,In Progress,,,,04 MANHATTAN,1007950071,MANHATTAN,985269,209582,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.74193072918764,-73.99632271255918,"(40.74193072918764, -73.99632271255918)"
65307283,06/19/2025 06:54:18 AM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10001,138 WEST   31 STREET,WEST   31 STREET,AVENUE OF THE AMERICAS,7 AVENUE,AVENUE OF THE AMERICAS,7 AVENUE,ADDRESS,NEW YORK,WEST   31 STREET,,In Progress,,The Department of Sanitation (DSNY) visited the business. They didn't find the condition you reported. Your Service Request has been closed.,06/19/2025 06:54:27 AM,05 MANHATTAN,1008060063,MANHATTAN,986919,211938,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.74839701510164,-73.99036738680397,"(40.74839701510164, -73.99036738680397)"
65306279,06/19/2025 06:53:48 AM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10001,875 AVENUE OF THE AMERICAS,AVENUE OF THE AMERICAS,WEST   31 STREET,WEST   32 STREET,WEST   31 STREET,WEST   32 STREET,ADDRESS,NEW YORK,AVENUE OF THE AMERICAS,,In Progress,,The Department of Sanitation (DSNY) visited the business. They didn't find the condition you reported. Your Service Request has been closed.,06/19/2025 02:30:58 PM,05 MANHATTAN,1008070039,MANHATTAN,987268,211790,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.74799068011893,-73.9891078871015,"(40.74799068011893, -73.9891078871015)"
65310368,06/19/2025 06:49:45 AM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10001,56 WEST   35 STREET,WEST   35 STREET,5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,ADDRESS,NEW YORK,WEST   35 STREET,,In Progress,,The Department of Sanitation (DSNY) inspected but didn't see a violation of their rules. Your Service Request has been closed.,06/19/2025 06:49:52 AM,05 MANHATTAN,1008360010,MANHATTAN,988130,212485,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.74989794381453,-73.98599648506749,"(40.74989794381453, -73.98599648506749)"
65309296,06/19/2025 06:49:16 AM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10001,66 WEST   35 STREET,WEST   35 STREET,5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,ADDRESS,NEW YORK,WEST   35 STREET,,In Progress,,The Department of Sanitation (DSNY) inspected but didn't see a violation of their rules. Your Service Request has been closed.,06/19/2025 06:49:22 AM,05 MANHATTAN,1008367502,MANHATTAN,988056,212526,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.750010510629004,-73.98626353920513,"(40.750010510629004, -73.98626353920513)"
65310369,06/19/2025 06:46:39 AM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10018,109 WEST   38 STREET,WEST   38 STREET,AVENUE OF THE AMERICAS,BROADWAY,AVENUE OF THE AMERICAS,BROADWAY,ADDRESS,NEW YORK,WEST   38 STREET,,In Progress,,The Department of Sanitation (DSNY) inspected but didn't see a violation of their rules. Your Service Request has been closed.,06/19/2025 06:46:44 AM,05 MANHATTAN,1008140030,MANHATTAN,988001,213449,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.752543935743866,-73.98646152811317,"(40.752543935743866, -73.98646152811317)"
65310366,06/19/2025 06:38:35 AM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10018,535 8 AVENUE,8 AVENUE,WEST   36 STREET,WEST   37 STREET,WEST   36 STREET,WEST   37 STREET,ADDRESS,NEW YORK,8 AVENUE,,In Progress,,,,04 MANHATTAN,1007600043,MANHATTAN,986413,213961,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.753949776944395,-73.99219292651772,"(40.753949776944395, -73.99219292651772)"
65309295,06/19/2025 06:35:45 AM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10036,576 9 AVENUE,9 AVENUE,WEST   41 STREET,WEST   42 STREET,WEST   41 STREET,WEST   42 STREET,ADDRESS,NEW YORK,9 AVENUE,,In Progress,,The Department of Sanitation (DSNY) visited the business. They didn't find the condition you reported. Your Service Request has been closed.,06/19/2025 06:35:52 AM,04 MANHATTAN,1010320162,MANHATTAN,986259,215529,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.75825357382946,-73.99274830141556,"(40.75825357382946, -73.99274830141556)"
65312422,06/19/2025 06:33:54 AM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10036,150 WEST   46 STREET,WEST   46 STREET,AVENUE OF THE AMERICAS,7 AVENUE,AVENUE OF THE AMERICAS,7 AVENUE,ADDRESS,NEW YORK,WEST   46 STREET,,In Progress,,The Department of Sanitation (DSNY) gave the business a violation.,06/19/2025 02:29:46 PM,05 MANHATTAN,1009980055,MANHATTAN,988772,215431,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.75798366073745,-73.98367742744102,"(40.75798366073745, -73.98367742744102)"
65313429,06/19/2025 06:32:38 AM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10023,61 COLUMBUS AVENUE,COLUMBUS AVENUE,WEST   62 STREET,WEST   63 STREET,WEST   62 STREET,WEST   63 STREET,ADDRESS,NEW YORK,COLUMBUS AVENUE,,In Progress,,,,07 MANHATTAN,1011157502,MANHATTAN,988868,220247,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.77120228756935,-73.98332759800826,"(40.77120228756935, -73.98332759800826)"
65306280,06/19/2025 02:47:09 AM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10452,100 WEST  163 STREET,WEST  163 STREET,WOODYCREST AVENUE,OGDEN AVENUE,WOODYCREST AVENUE,OGDEN AVENUE,ADDRESS,BRONX,WEST  163 STREET,,In Progress,,,,04 BRONX,2025110064,BRONX,1003804,242458,PHONE,Unspecified,BRONX,,,,,,,,40.83214495820546,-73.9293393689272,"(40.83214495820546, -73.9293393689272)"
65301693,06/19/2025 12:15:07 AM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10018,BROADWAY,BROADWAY,WEST   40 STREET,WEST   41 STREET,WEST   40 STREET,WEST   41 STREET,BLOCKFACE,,,,In Progress,,The Department of Sanitation (DSNY) gave the business a violation.,06/19/2025 02:26:41 PM,Unspecified MANHATTAN,,MANHATTAN,,,PHONE,Unspecified,MANHATTAN,,,,,,,,,,
65298169,06/18/2025 08:41:53 PM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,11237,1633 DEKALB AVENUE,DEKALB AVENUE,WYCKOFF AVENUE,ST NICHOLAS AVENUE,WYCKOFF AVENUE,ST NICHOLAS AVENUE,ADDRESS,BROOKLYN,DEKALB AVENUE,,In Progress,,,,04 BROOKLYN,3032380043,BROOKLYN,1006728,196000,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70462293645532,-73.91892853837761,"(40.70462293645532, -73.91892853837761)"
65302851,06/18/2025 08:11:59 PM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10463,3804 GREYSTONE AVENUE,GREYSTONE AVENUE,WEST  238 STREET,WEST  240 STREET,WEST  238 STREET,WEST  240 STREET,ADDRESS,BRONX,GREYSTONE AVENUE,,In Progress,,,,08 BRONX,2057790810,BRONX,1010457,262672,PHONE,Unspecified,BRONX,,,,,,,,40.8876090409491,-73.90521896753835,"(40.8876090409491, -73.90521896753835)"
65305252,06/18/2025 06:01:21 PM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,11105,46-01 20 AVENUE,20 AVENUE,46 STREET,47 STREET,46 STREET,47 STREET,ADDRESS,ASTORIA,20 AVENUE,,In Progress,,,,01 QUEENS,4007740001,QUEENS,1012512,221228,ONLINE,Unspecified,QUEENS,,,,,,,,40.773850902178346,-73.89796139677534,"(40.773850902178346, -73.89796139677534)"
65301692,06/18/2025 04:04:18 PM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10456,270 EAST  165 STREET,EAST  165 STREET,MORRIS AVENUE,COLLEGE AVENUE,MORRIS AVENUE,COLLEGE AVENUE,ADDRESS,BRONX,EAST  165 STREET,,In Progress,,,,04 BRONX,2024320011,BRONX,1007417,241403,ONLINE,Unspecified,BRONX,,,,,,,,40.82924054880127,-73.91628702795461,"(40.82924054880127, -73.91628702795461)"
65298168,06/18/2025 02:44:23 PM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,11211,478 UNION AVENUE,UNION AVENUE,CONSELYEA STREET,MEEKER AVENUE,CONSELYEA STREET,MEEKER AVENUE,ADDRESS,BROOKLYN,UNION AVENUE,,In Progress,,The Department of Sanitation (DSNY) visited the business. They didn't find the condition you reported. Your Service Request has been closed.,06/18/2025 11:31:06 PM,01 BROOKLYN,3027510003,BROOKLYN,997632,199694,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71478052023704,-73.95172775456525,"(40.71478052023704, -73.95172775456525)"
65298170,06/18/2025 02:36:44 PM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10029,1629 PARK AVENUE,PARK AVENUE,EAST  115 STREET,EAST  116 STREET,EAST  115 STREET,EAST  116 STREET,ADDRESS,NEW YORK,PARK AVENUE,,In Progress,,,,11 MANHATTAN,1016430004,MANHATTAN,999899,230364,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.79895810355713,-73.94347873074216,"(40.79895810355713, -73.94347873074216)"
65300547,06/18/2025 02:11:03 PM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10002,4 CLINTON STREET,CLINTON STREET,AVENUE B,STANTON STREET,AVENUE B,STANTON STREET,ADDRESS,NEW YORK,CLINTON STREET,,In Progress,,The Department of Sanitation (DSNY) inspected but didn't see a violation of their rules. Your Service Request has been closed.,06/18/2025 02:11:12 PM,03 MANHATTAN,1003500051,MANHATTAN,988692,202017,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72116560269657,-73.98397505248397,"(40.72116560269657, -73.98397505248397)"
65305251,06/18/2025 02:04:53 PM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10453,194 WEST  180 STREET,WEST  180 STREET,LORING PLACE SOUTH,OSBORNE PLACE,LORING PLACE SOUTH,OSBORNE PLACE,ADDRESS,BRONX,WEST  180 STREET,,In Progress,,,,05 BRONX,2032280039,BRONX,1007826,251306,ONLINE,Unspecified,BRONX,,,,,,,,40.8564202920373,-73.91477430945415,"(40.8564202920373, -73.91477430945415)"
65301694,06/18/2025 01:47:27 PM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,11418,93-15 107 STREET,107 STREET,93 AVENUE,ATLANTIC AVENUE,93 AVENUE,ATLANTIC AVENUE,ADDRESS,RICHMOND HILL,107 STREET,,In Progress,,,,09 QUEENS,4093140040,QUEENS,1028924,191266,PHONE,Unspecified,QUEENS,,,,,,,,40.6915450088481,-73.83890570245391,"(40.6915450088481, -73.83890570245391)"
65296965,06/18/2025 01:16:45 PM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,11361,38-46 BELL BOULEVARD,BELL BOULEVARD,38 AVENUE,39 AVENUE,38 AVENUE,39 AVENUE,ADDRESS,BAYSIDE,BELL BOULEVARD,,In Progress,,The Department of Sanitation (DSNY) visited the business. They didn't find the condition you reported. Your Service Request has been closed.,06/18/2025 09:22:33 PM,11 QUEENS,4062340045,QUEENS,1047340,218419,ONLINE,Unspecified,QUEENS,,,,,,,,40.76596098939158,-73.77224334297337,"(40.76596098939158, -73.77224334297337)"
65305250,06/18/2025 10:32:04 AM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10472,1187 MORRISON AVENUE,MORRISON AVENUE,HARROD PLACE,WESTCHESTER AVENUE,HARROD PLACE,WESTCHESTER AVENUE,ADDRESS,BRONX,MORRISON AVENUE,,In Progress,,The Department of Sanitation (DSNY) visited the business. They didn't find the condition you reported. Your Service Request has been closed.,06/18/2025 10:32:12 AM,09 BRONX,2037440001,BRONX,1018984,241387,PHONE,Unspecified,BRONX,,,,,,,,40.82915871884174,-73.87449029449927,"(40.82915871884174, -73.87449029449927)"
65301691,06/18/2025 08:26:32 AM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10001,828 AVENUE OF THE AMERICAS,AVENUE OF THE AMERICAS,WEST   28 STREET,WEST   29 STREET,WEST   28 STREET,WEST   29 STREET,ADDRESS,NEW YORK,AVENUE OF THE AMERICAS,,In Progress,,The Department of Sanitation (DSNY) inspected but didn't see a violation of their rules. Your Service Request has been closed.,06/18/2025 08:26:41 AM,05 MANHATTAN,1008300080,MANHATTAN,986960,211222,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.74643176257823,-73.99021970336895,"(40.74643176257823, -73.99021970336895)"
65302850,06/18/2025 08:12:53 AM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,11201,8 ELIZABETH PLACE,ELIZABETH PLACE,OLD FULTON STREET,DOUGHTY STREET,OLD FULTON STREET,DOUGHTY STREET,ADDRESS,BROOKLYN,ELIZABETH PLACE,,In Progress,,The Department of Sanitation (DSNY) gave the business a violation.,06/18/2025 12:42:13 PM,02 BROOKLYN,3002010004,BROOKLYN,985925,195187,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.70241983420228,-73.99395897360523,"(40.70241983420228, -73.99395897360523)"
65304071,06/18/2025 07:59:40 AM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10463,3056 ALBANY CRESCENT,ALBANY CRESCENT,BAILEY AVENUE,WEST  231 STREET,BAILEY AVENUE,WEST  231 STREET,ADDRESS,BRONX,ALBANY CRESCENT,,In Progress,,,,08 BRONX,2032660095,BRONX,1010869,258970,ONLINE,Unspecified,BRONX,,,,,,,,40.87744697837089,-73.90374362927352,"(40.87744697837089, -73.90374362927352)"
65302844,06/18/2025 07:29:06 AM,06/18/2025 10:26:40 AM,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10012,150 WOOSTER STREET,WOOSTER STREET,PRINCE STREET,WEST HOUSTON STREET,PRINCE STREET,WEST HOUSTON STREET,ADDRESS,NEW YORK,WOOSTER STREET,,Closed,,The Department of Sanitation (DSNY) closed your Service Request. The condition doesn't meet their criteria for a complaint or Service Request.,06/18/2025 10:26:40 AM,02 MANHATTAN,1005147506,MANHATTAN,984392,203811,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.726090812220264,-73.99948768331582,"(40.726090812220264, -73.99948768331582)"
65305246,06/18/2025 07:27:08 AM,06/18/2025 10:27:02 AM,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10012,135 WOOSTER STREET,WOOSTER STREET,PRINCE STREET,WEST HOUSTON STREET,PRINCE STREET,WEST HOUSTON STREET,ADDRESS,NEW YORK,WOOSTER STREET,,Closed,,The Department of Sanitation (DSNY) closed your Service Request. The condition doesn't meet their criteria for a complaint or Service Request.,06/18/2025 10:27:02 AM,02 MANHATTAN,1005150036,MANHATTAN,984284,203654,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7256598864554,-73.99987733341811,"(40.7256598864554, -73.99987733341811)"
65301685,06/18/2025 07:14:44 AM,06/18/2025 10:27:24 AM,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10012,259 ELIZABETH STREET,ELIZABETH STREET,PRINCE STREET,EAST HOUSTON STREET,PRINCE STREET,EAST HOUSTON STREET,ADDRESS,NEW YORK,ELIZABETH STREET,,Closed,,The Department of Sanitation (DSNY) closed your Service Request. The condition doesn't meet their criteria for a complaint or Service Request.,06/18/2025 10:27:24 AM,02 MANHATTAN,1005087501,MANHATTAN,985972,202920,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72364506698956,-73.9937874862329,"(40.72364506698956, -73.9937874862329)"
65296966,06/18/2025 07:11:24 AM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10036,576 9 AVENUE,9 AVENUE,WEST   41 STREET,WEST   42 STREET,WEST   41 STREET,WEST   42 STREET,ADDRESS,NEW YORK,9 AVENUE,,In Progress,,The Department of Sanitation (DSNY) visited the business. They didn't find the condition you reported. Your Service Request has been closed.,06/18/2025 10:28:57 AM,04 MANHATTAN,1010320162,MANHATTAN,986259,215529,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.75825357382946,-73.99274830141556,"(40.75825357382946, -73.99274830141556)"
65302848,06/18/2025 07:08:56 AM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10018,242 WEST   38 STREET,WEST   38 STREET,7 AVENUE,8 AVENUE,7 AVENUE,8 AVENUE,ADDRESS,NEW YORK,WEST   38 STREET,,In Progress,,The Department of Sanitation (DSNY) inspected but didn't see a violation of their rules. Your Service Request has been closed.,06/18/2025 07:09:04 AM,05 MANHATTAN,1007870065,MANHATTAN,987001,213996,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.75404567966703,-73.9900706009764,"(40.75404567966703, -73.9900706009764)"
65304072,06/18/2025 07:08:49 AM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10018,109 WEST   38 STREET,WEST   38 STREET,AVENUE OF THE AMERICAS,BROADWAY,AVENUE OF THE AMERICAS,BROADWAY,ADDRESS,NEW YORK,WEST   38 STREET,,In Progress,,The Department of Sanitation (DSNY) inspected but didn't see a violation of their rules. Your Service Request has been closed.,06/18/2025 07:08:56 AM,05 MANHATTAN,1008140030,MANHATTAN,988001,213449,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.752543935743866,-73.98646152811317,"(40.752543935743866, -73.98646152811317)"
